YEAR,Location,Death Rate,Deaths,URL
2024,AL,13.3,645,/nchs/state-stats/states/al.html
2024,AK,7.7,56,/nchs/state-stats/states/ak.html
2024,AZ,6.4,467,/nchs/state-stats/states/az.html
2024,AR,8.5,247,/nchs/state-stats/states/ar.html
2024,CA,4.5,1768,/nchs/state-stats/states/ca.html
2024,CO,5.1,305,/nchs/state-stats/states/co.html
2024,CT,3,104,/nchs/state-stats/states/ct.html
2024,DE,6.9,67,/nchs/state-stats/states/de.html
2024,District of Columbia,23.3,172,/nchs/state-stats/states/dc.html
2024,FL,5.5,1183,/nchs/state-stats/states/fl.html
2024,GA,9.2,1001,/nchs/state-stats/states/ga.html
2024,HI,2.8,39,/nchs/state-stats/states/hi.html
2024,ID,1.8,36,/nchs/state-stats/states/id.html
2024,IL,8.7,1058,/nchs/state-stats/states/il.html
2024,IN,7.3,482,/nchs/state-stats/states/in.html
2024,IA,3.4,105,/nchs/state-stats/states/ia.html
2024,KS,5.6,156,/nchs/state-stats/states/ks.html
2024,KY,7,314,/nchs/state-stats/states/ky.html
2024,LA,15.2,659,/nchs/state-stats/states/la.html
2024,ME,2.6,34,/nchs/state-stats/states/me.html
2024,MD,9,529,/nchs/state-stats/states/md.html
2024,MA,2.2,153,/nchs/state-stats/states/ma.html
2024,MI,5.7,538,/nchs/state-stats/states/mi.html
2024,MN,3.4,192,/nchs/state-stats/states/mn.html
2024,MS,19.7,548,/nchs/state-stats/states/ms.html
2024,MO,9.4,555,/nchs/state-stats/states/mo.html
2024,MT,4.5,48,/nchs/state-stats/states/mt.html
2024,NE,3.1,59,/nchs/state-stats/states/ne.html
2024,NV,7,221,/nchs/state-stats/states/nv.html
2024,NH,1.4,18,/nchs/state-stats/states/nh.html
2024,NJ,2.9,264,/nchs/state-stats/states/nj.html
2024,NM,13.2,268,/nchs/state-stats/states/nm.html
2024,NY,3.5,693,/nchs/state-stats/states/ny.html
2024,NC,7.8,834,/nchs/state-stats/states/nc.html
2024,ND,2.5,20,/nchs/state-stats/states/nd.html
2024,OH,6.6,744,/nchs/state-stats/states/oh.html
2024,OK,7.2,283,/nchs/state-stats/states/ok.html
2024,OR,4,171,/nchs/state-stats/states/or.html
2024,PA,5.6,684,/nchs/state-stats/states/pa.html
2024,RI,2,20,/nchs/state-stats/states/ri.html
2024,SC,9.9,505,/nchs/state-stats/states/sc.html
2024,SD,6.6,55,/nchs/state-stats/states/sd.html
